Date,Close/Last,Volume,Open,High,Low
11/12/2021,$45.12,29804570,$43.57,$45.13,$43.57
11/11/2021,$43.28,27307790,$43.32,$43.72,$42.44
11/10/2021,$43.38,33712210,$44.9,$45.25,$42.6
11/09/2021,$45.51,33588850,$45.91,$45.98,$43.68
11/08/2021,$45.89,25257850,$47.08,$47.645,$45.82
11/05/2021,$47.19,45641490,$47.5,$48.74,$46.61
11/04/2021,$45.27,31903050,$45.54,$46.53,$44.99
11/03/2021,$45.72,38499590,$45.33,$46.26,$44.71
11/02/2021,$42.89,28002580,$44.34,$44.35,$42.3309
11/01/2021,$44.36,20983930,$44.07,$45.025,$43.65
10/29/2021,$43.82,18283200,$44.49,$44.8,$43.57
10/28/2021,$44.62,14768790,$45,$45.4117,$44.3833
10/27/2021,$44.73,26999750,$46.47,$46.55,$44.165
10/26/2021,$46.02,19491760,$46.28,$47.69,$45.86
10/25/2021,$45.72,12955480,$45.67,$46.07,$45.0173
10/22/2021,$45.51,19259200,$46,$46.5,$45.23
10/21/2021,$46.47,15741030,$45.97,$47.54,$45.52
10/20/2021,$46,15570860,$47.15,$47.54,$45.93
10/19/2021,$47.05,16500200,$47.2,$47.69,$46.74
10/18/2021,$47.07,19806660,$47.68,$47.95,$46.75
10/15/2021,$48.36,20581670,$47.91,$48.84,$47.34
10/14/2021,$47.28,18514020,$46.98,$47.94,$46.84
10/13/2021,$46.41,13754400,$46.26,$47,$45.94
10/12/2021,$46.72,12404190,$46.33,$47.05,$46.155
10/11/2021,$46.29,16336780,$47.7,$47.87,$46.28
10/08/2021,$47.77,17980420,$48.08,$48.88,$47.605
10/07/2021,$47.91,25961570,$47.64,$48.2384,$46.89
10/06/2021,$47.01,24868680,$45.33,$47.18,$45
10/05/2021,$45.61,12433930,$45.91,$46.08,$45.345
10/04/2021,$45.72,21588150,$46.47,$46.83,$45.2
10/01/2021,$47.05,25428280,$45.915,$47.25,$45.79
09/30/2021,$44.8,16659700,$44.71,$45.365,$43.86
09/29/2021,$44.52,24599490,$46,$46.53,$44.3
09/28/2021,$45.98,23707880,$46.7,$47,$45.76
09/27/2021,$47.25,23034750,$46.77,$47.43,$46.19
09/24/2021,$46.63,29458270,$45.46,$47.045,$45.291
09/23/2021,$45.48,26232790,$45.35,$45.84,$44.71
09/22/2021,$44.87,56455150,$44.9,$46.62,$44.61
09/21/2021,$44.36,106631700,$42.34,$45,$42.18
09/20/2021,$39.79,35417620,$38.88,$40.22,$38.73
